CD119,Voter Turnout
Ohio 01,53.95
Ohio 02,48.65
Ohio 03,54.24
Ohio 04,53.66
Ohio 05,50.26
Ohio 06,48.55
Ohio 07,57.86
Ohio 08,53.63
Ohio 09,51.55
Ohio 10,50.75
Ohio 11,51.3
Ohio 12,47.76
Ohio 13,52.98
Ohio 14,50.63
Ohio 15,54.18
