"Table 1. Number of Votes Cast, Citizen Voting-Age Population and Voting Rates for Congressional Districts: 2018",,,,,,,,
"[Table with column headings in rows 3 and 4, and row headings in columns A, B, C, and D. Columns E, F, and G are in persons, columns H and I are in percent.]",,,,,,,,
Line #,State abbreviation,State name,Congressional district,"Votes cast for congressional representative for the November 6, 2018 election1",Citizen voting- age population2,,Voting rate3,
,,,,,Estimate,Margin of error (MOE),Estimate,Margin of error (MOE)
152,IN,Indiana,1,245209,537218,2969,45.6442263662052,0.252258316142168
153,IN,Indiana,2,228889,522778,3982,43.7832119943839,0.333496723583694
154,IN,Indiana,3,245537,540022,2746,45.467962416346,0.231203589474662
155,IN,Indiana,4,244363,567094,4245,43.0903871315867,0.322554450185658
156,IN,Indiana,5,317177,573500,6937,55.3054925893636,0.66896983799898
157,IN,Indiana,6,241726,549035,2722,44.0274299452676,0.218278733252012
158,IN,Indiana,7,217596,521076,6956,41.7589756580614,0.557453106029591
159,IN,Indiana,8,244291,549149,2287,44.4853764643111,0.18526493897627
160,IN,Indiana,9,271361,575308,3657,47.1679517753968,0.299827570001853
161,IA,Iowa,1,334243,580187,2876,57.609529341402,0.285571731848304
162,IA,Iowa,2,312913,581525,2670,53.8090365848416,0.247057525783977
163,IA,Iowa,3,356241,601044,3898,59.2703695569709,0.384390993892415
164,IA,Iowa,4,313045,564463,2859,55.4589051895341,0.28089885419749
165,KS,Kansas,1,224640,502712,3509,44.6856251690829,0.311911907251691
166,KS,Kansas,2,264688,538594,2980,49.1442533708136,0.27191144915284
167,KS,Kansas,3,318301,534532,3744,59.5476042594269,0.417086779364555
168,KS,Kansas,4,242693,515676,3192,47.0630783670367,0.291317311931486
169,KY,Kentucky,1,251016,552530,3169,45.4302933777352,0.260562502875939
170,KY,Kentucky,2,257345,577362,4615,44.5725558661637,0.356279674315846
171,KY,Kentucky,3,278720,553926,3786,50.3171903828309,0.343910346850298
172,KY,Kentucky,4,261812,565232,4216,46.3193874373709,0.345490944313053
173,KY,Kentucky,5,218017,537877,3689,40.5328727571545,0.277992491965901
174,KY,Kentucky,6,302888,581992,4750,52.043327056042,0.424758078317571
175,LA,Louisiana,1,269325,594231,7375,45.3232833695987,0.562507198127984
176,LA,Louisiana,2,235982,587115,8471,40.1934884988461,0.579918825227979
177,LA,Louisiana,3,245943,577604,2928,42.5798644053712,0.2158465713169
178,LA,Louisiana,4,216872,559310,2947,38.7749190967442,0.204304744378082
179,LA,Louisiana,5,223946,555804,4901,40.2922613007463,0.355291384435804
180,LA,Louisiana,6,268525,585015,7251,45.9005324649795,0.568916627613936
181,ME,Maine,1,349963,546625,3606,64.0225017150698,0.422346473696852
182,ME,Maine,2,281371,524036,3159,53.6930668885344,0.323673179516064
183,MD,Maryland,1,306186,567926,5943,53.9130097935294,0.564166840755566
184,MD,Maryland,2,253302,560167,10243,45.219015043728,0.82685765333
185,MD,Maryland,3,292880,545892,12375,53.6516380529482,1.21624610894689
186,MD,Maryland,4,268583,503398,11202,53.3540061740412,1.18727443724768
187,MD,Maryland,5,304209,556897,9297,54.625720734714,0.911937621625966
188,MD,Maryland,6,277084,523698,8346,52.9091193779621,0.843194952679735
189,MD,Maryland,7,264710,528398,10931,50.0967074061597,1.03635348479126
190,MD,Maryland,8,319330,533774,9035,59.8249446394916,1.01263526289742
191,MA,Massachusetts,1,275066,568024,5218,48.425066546484,0.444843874976327
192,MA,Massachusetts,2,293163,558962,8532,52.4477513677137,0.800562855201845
193,MA,Massachusetts,3,286583,543580,9566,52.721402553442,0.927798919802469
194,MA,Massachusetts,4,322127,559943,7776,57.5285341543693,0.798906105772151
195,MA,Massachusetts,5,323836,535109,10214,60.5177636705793,1.15514491090843
196,MA,Massachusetts,6,343765,577241,6734,59.553115596432,0.694736999669762
197,MA,Massachusetts,7,249375,558430,11033,44.6564475404258,0.882285310089928
198,MA,Massachusetts,8,327380,561241,10353,58.3314476312315,1.07601810510305
199,MA,Massachusetts,9,331370,573274,7656,57.8030749693864,0.77195257759051
200,MI,Michigan,1,332497,564858,1561,58.863820641648,0.162671722842931
201,MI,Michigan,2,305463,551323,4776,55.4054519764276,0.479966260503223
202,MI,Michigan,3,310740,551028,4362,56.3927785883839,0.446411616474173
203,MI,Michigan,4,285050,554938,2626,51.3660985551539,0.243067468448429
204,MI,Michigan,5,276413,520558,2700,53.0993664490796,0.275412709846962
205,MI,Michigan,6,293438,541981,3071,54.1417503565623,0.306780708816366
206,MI,Michigan,7,295060,548462,2889,53.7977106891635,0.283377127642377
207,MI,Michigan,8,341593,554462,5219,61.6080092053197,0.579899434122742
208,MI,Michigan,9,304563,552114,6344,55.1630641497952,0.633844602684048
209,MI,Michigan,10,303064,553804,5635,54.7240539974431,0.556821626921424
210,MI,Michigan,11,350901,534817,6785,65.6114147456046,0.832384626982551
211,MI,Michigan,12,294628,526943,7440,55.912688848699,0.789440992734168
212,MI,Michigan,13,196299,474739,8475,41.3488253545632,0.73815569161144
213,MI,Michigan,14,264994,512851,9342,51.6707581734266,0.941225078738564
214,MN,Minnesota,1,291661,500330,2914,58.2937261407471,0.33951175818787
215,MN,Minnesota,2,337968,511914,3848,66.0204643748755,0.496268410151941
216,MN,Minnesota,3,363949,517834,7590,70.2829478172542,1.03015169713259
217,MN,Minnesota,4,328614,510862,5084,64.3253951164894,0.640153913918499
218,MN,Minnesota,5,343358,517155,6617,66.3936344036121,0.849506780073094
219,MN,Minnesota,6,315726,525551,4938,60.07523532445,0.564458086907139
220,MN,Minnesota,7,281509,495727,2489,56.787102578637,0.285122856568691
221,MN,Minnesota,8,314211,527541,1381,59.5614369309684,0.155920287525837
222,MS,Mississippi,1,236521,577880,2748,40.9290856233128,0.194630593363438
223,MS,Mississippi,2,221379,523479,4699,42.2899485939264,0.379614976804915
224,MS,Mississippi,3,257271,559913,5338,45.9483884103423,0.438054657302844
225,MS,Mississippi,4,223732,579386,3131,38.615361779539,0.208677285491428
226,MO,Missouri,1,274375,549361,6958,49.9443899366719,0.632576876005692
227,MO,Missouri,2,376066,575828,8830,65.3087380259383,1.00147293422521
228,MO,Missouri,3,324608,602748,6241,53.8546789039532,0.557624498197542
229,MO,Missouri,4,293316,584925,4248,50.1459161430953,0.364183188914594
230,MO,Missouri,5,283785,573775,5681,49.4592828199207,0.489700990283595
231,MO,Missouri,6,305409,583457,5275,52.344731488353,0.473245600962988
232,MO,Missouri,7,296455,595559,2710,49.7776038981864,0.226505361457194
233,MO,Missouri,8,264399,567717,3947,46.5723238867253,0.323789779733396
234,MT,Montana,At-large,504421,823668,2462,61.2408154741959,0.183052987001401
235,NE,Nebraska,1,234781,473676,3971,49.5657369172177,0.415527789666927
236,NE,Nebraska,2,248485,467041,4132,53.204108418747,0.470706803013574
237,NE,Nebraska,3,213304,439543,3065,48.5285853716246,0.338397185631507
238,NV,Nevada,1,152201,418811,10703,36.3412135784399,0.928724434004939
239,NV,Nevada,2,287537,531489,4280,54.1002730065909,0.435661261979475
240,NV,Nevada,3,286168,607915,11250,47.0736862883791,0.871139831628213
241,NV,Nevada,4,234868,516951,10773,45.4333195989562,0.946807631747603
242,NH,New Hampshire,1,291039,540224,4909,53.8737634758915,0.489549344166774
243,NH,New Hampshire,2,279705,529588,4458,52.8155849452782,0.444594435081706
244,NJ,New Jersey,1,263418,542034,6191,48.5980584243793,0.555076950348746
