"Table 1. Number of Votes Cast, Citizen Voting-Age Population and Voting Rates for Congressional Districts: 2018",,,,,,,,
"[Table with column headings in rows 3 and 4, and row headings in columns A, B, C, and D. Columns E, F, and G are in persons, columns H and I are in percent.]",,,,,,,,
Line #,State abbreviation,State name,Congressional district,"Votes cast for congressional representative for the November 6, 2018 election1",Citizen voting- age population2,,Voting rate3,
,,,,,Estimate,Margin of error (MOE),Estimate,Margin of error (MOE)
316,OK,Oklahoma,1,253171,565812,2986,44.7447208613462,0.236134504909722
317,OK,Oklahoma,2,216002,564213,2174,38.2837687185513,0.147513285220529
318,OK,Oklahoma,3,234065,571661,2631,40.9447207348411,0.188443081220106
319,OK,Oklahoma,4,236638,589702,4619,40.1284038378707,0.314316548573898
320,OK,Oklahoma,5,238960,561277,5517,42.5743438622997,0.418479031010192
321,OR,Oregon,1,363249,606198,6201,59.922500569121,0.612967093307994
322,OR,Oregon,2,368709,619186,4754,59.5473734871266,0.457194144502298
323,OR,Oregon,3,384326,627716,5932,61.2260958777536,0.578594779720183
324,OR,Oregon,4,372893,638548,5000,58.3970194879633,0.457264132750892
325,OR,Oregon,5,358469,606523,6245,59.1022929056277,0.608540515686371
326,PA,Pennsylvania,1,329798,544860,4939,60.5289432147708,0.548677551183337
327,PA,Pennsylvania,2,201982,496510,12153,40.6803488348674,0.995726731365215
328,PA,Pennsylvania,3,307997,564612,11678,54.5502043881462,1.12827443774622
329,PA,Pennsylvania,4,332991,543723,4822,61.2427651579941,0.543130626425307
330,PA,Pennsylvania,5,304714,519983,6115,58.6007619479868,0.689144951492528
331,PA,Pennsylvania,6,301828,522912,4827,57.7206107337372,0.532818883505733
332,PA,Pennsylvania,7,263261,552078,4662,47.6854719804086,0.402678009941828
333,PA,Pennsylvania,8,248166,535133,5536,46.3746395755821,0.479749902716563
334,PA,Pennsylvania,9,248927,555775,5005,44.78916827853,0.403346295234659
335,PA,Pennsylvania,10,291033,552761,5816,52.6507839735437,0.553977143087393
336,PA,Pennsylvania,11,277584,553568,5995,50.1445170241054,0.54305230714115
337,PA,Pennsylvania,12,243872,551022,3977,44.2581239950492,0.319432906722981
338,PA,Pennsylvania,13,253266,545111,3919,46.461362915076,0.334027530657394
339,PA,Pennsylvania,14,261437,551164,2665,47.4336132258275,0.229352024527782
340,PA,Pennsylvania,15,243572,548615,4573,44.3976194599127,0.370077948634618
341,PA,Pennsylvania,16,262396,539710,2919,48.6179614978414,0.262948304852975
342,PA,Pennsylvania,17,325579,559285,6462,58.2134332227755,0.672600204699885
343,PA,Pennsylvania,18,231472,544390,6168,42.5195172578482,0.481750918360749
344,RI,Rhode Island,1,174083,395409,6058,44.0260590932427,0.674516427261049
345,RI,Rhode Island,2,199197,407668,6982,48.8625548240235,0.836853414497414
346,SC,South Carolina,1,287433,613912,6942,46.8199025267465,0.529430542717318
347,SC,South Carolina,2,257139,537342,7030,47.8538807686725,0.626068280171227
348,SC,South Carolina,3,226204,534772,4868,42.2991480481401,0.385046810039318
349,SC,South Carolina,4,243950,533533,6329,45.7235072619688,0.54239208720173
350,SC,South Carolina,5,248579,552247,4381,45.0122861690512,0.357084467107315
351,SC,South Carolina,6,206433,506843,10563,40.7291804365454,0.848827611215365
352,SC,South Carolina,7,239554,571428,3454,41.9219919219919,0.253397733570214
353,SD,South Dakota,At-large,335965,647089,2674,51.9194423023726,0.214549449483061
354,TN,Tennessee,1,224282,563918,3157,39.7720945243812,0.222657376450958
355,TN,Tennessee,2,262134,583056,3129,44.9586317609286,0.241272808752411
356,TN,Tennessee,3,245765,571456,3926,43.0068106730877,0.295464110452147
357,TN,Tennessee,4,232451,590540,4743,39.3624479290141,0.316144698965885
358,TN,Tennessee,5,262248,563797,5435,46.5146143026657,0.448400627770258
359,TN,Tennessee,6,248740,591603,3690,42.0450876685886,0.262247442114208
360,TN,Tennessee,7,254384,578288,3700,43.9891541930664,0.281451232801555
361,TN,Tennessee,8,248345,525277,4889,47.278864294458,0.440046618328244
362,TN,Tennessee,9,181476,507231,5835,35.7777817207545,0.411574521944838
363,TX,Texas,1,232720,511974,4743,45.4554332837214,0.421105603145259
364,TX,Texas,2,263392,520180,17389,50.6347802683686,1.6926606061107
365,TX,Texas,3,312358,563318,7999,55.449674961567,0.7873740054775
366,TX,Texas,4,249245,543354,5315,45.8715680753247,0.448708179787673
367,TX,Texas,5,209507,480610,7387,43.591893635172,0.670009609211243
368,TX,Texas,6,256042,554709,11109,46.1578954010121,0.924391095168535
369,TX,Texas,7,243601,448262,17967,54.3434420048989,2.17816505191611
370,TX,Texas,8,273170,584039,8995,46.7725614214119,0.720361465562403
371,TX,Texas,9,153001,445634,16319,34.3333318373374,1.25727759159649
372,TX,Texas,10,307827,593629,15051,51.8551148949933,1.31474596807862
373,TX,Texas,11,220377,542570,6851,40.6172475440957,0.512871634857437
374,TX,Texas,12,268491,572411,11504,46.905283092044,0.942676462700532
375,TX,Texas,13,207285,493390,5774,42.0124039806238,0.491658972788508
376,TX,Texas,14,234528,532153,6811,44.0715358177066,0.564069413222136
377,TX,Texas,15,164802,435170,10959,37.8707171909828,0.953708182310318
378,TX,Texas,16,181754,458940,7531,39.6029982132741,0.649867476236909
379,TX,Texas,17,237351,550601,9229,43.1076223980705,0.722556346813377
380,TX,Texas,18,184332,480387,17751,38.3715629273898,1.41788519157283
381,TX,Texas,19,201985,509891,4649,39.6133683473527,0.361180231553102
382,TX,Texas,20,171963,549483,15793,31.2954176926311,0.899479204306089
383,TX,Texas,21,353617,622228,13955,56.8307758570813,1.27457053858966
384,TX,Texas,22,297405,577164,14484,51.5286816225544,1.29311846307302
385,TX,Texas,23,210069,507547,12255,41.3890733271993,0.999361819939487
386,TX,Texas,24,263418,503766,10913,52.2897535760651,1.13274433124823
387,TX,Texas,25,304553,570238,11587,53.4080506735784,1.0852294711239
388,TX,Texas,26,312505,605249,8073,51.6324686203529,0.688689975815093
389,TX,Texas,27,207421,517267,6497,40.0994070760362,0.503658357817156
390,TX,Texas,28,139226,434305,11134,32.0571948285191,0.82182983668328
391,TX,Texas,29,117494,369239,12870,31.8205823328522,1.10912144877385
392,TX,Texas,30,183174,479082,11936,38.2343732388192,0.952583229965949
393,TX,Texas,31,286007,602236,5813,47.4908507628239,0.458398892600733
394,TX,Texas,32,275620,505867,10389,54.4846768024006,1.11895282218476
395,TX,Texas,33,119224,360226,12748,33.0970002165307,1.17126625718392
396,TX,Texas,34,143068,424863,9876,33.6739137086543,0.782754845177552
397,TX,Texas,35,194067,532967,13421,36.4125733863448,0.916929467336876
398,TX,Texas,36,221956,519385,9934,42.7343877855541,0.817357852578904
399,UT,Utah,1,254333,521517,4200,48.7679212758165,0.392748979148195
400,UT,Utah,2,270044,529608,7295,50.9894110360871,0.702345420590805
401,UT,Utah,3,258858,517848,6002,49.9872549473977,0.579365961043165
402,UT,Utah,4,269271,518368,8401,51.9459148712883,0.841868384687507
403,VT,Vermont,At-large,278230,500274,2062,55.6155226935639,0.229232796016041
404,VA,Virginia,1,332101,590281,8602,56.2615093489372,0.819883247842227
405,VA,Virginia,2,273400,559397,6204,48.874055456143,0.542038373552077
406,VA,Virginia,3,217722,559137,7090,38.9389362535479,0.493755659234954
407,VA,Virginia,4,299854,579606,9665,51.7341090326877,0.862672511673321
408,VA,Virginia,5,310926,578531,7084,53.7440517448503,0.658085500276597
409,VA,Virginia,6,281377,582756,4662,48.2838443533829,0.386266777820342
410,VA,Virginia,7,349803,588061,8567,59.4841351492447,0.86657776289123
411,VA,Virginia,8,324748,533417,10149,60.880699340291,1.15833994343002
412,VA,Virginia,9,246980,567315,4437,43.534896838617,0.340488683135372
413,VA,Virginia,10,367795,565197,8256,65.0737707383443,0.950551845136777
414,VA,Virginia,11,308250,509988,10817,60.44259864938,1.28200583070649
415,WA,Washington,1,332743,519555,10068,64.0438452136925,1.24104942424085
416,WA,Washington,2,294833,558321,7945,52.8070769324457,0.751453422365057
417,WA,Washington,3,307226,544994,4118,56.3723637324448,0.425952201033787
418,WA,Washington,4,225336,443137,5909,50.8501885421439,0.678060654144267
419,WA,Washington,5,320347,551532,3876,58.0831211969568,0.40819059956522
420,WA,Washington,6,323086,570991,6932,56.5833787222566,0.686938990811909
421,WA,Washington,7,394681,600321,11081,65.7449930953607,1.21355119759211
422,WA,Washington,8,313057,522952,10928,59.8634291483731,1.2509514328914
423,WA,Washington,9,240567,499184,11809,48.1920494246611,1.14006040188753
424,WA,Washington,10,270075,544552,6928,49.5958145411274,0.630977029082495
425,WV,West Virginia,1,198214,486327,3632,40.7573505069634,0.30438510928098
426,WV,West Virginia,2,204792,487208,3478,42.0337925485624,0.300063895674743
427,WV,West Virginia,3,174985,457623,2050,38.2378071032269,0.171292755306475
428,WI,Wisconsin,1,325317,539789,5165,60.26743783219,0.576672211555369
429,WI,Wisconsin,2,317295,577976,3636,54.897608205185,0.345356387521372
430,WI,Wisconsin,3,314989,566700,2657,55.5830245279689,0.260603663615341
431,WI,Wisconsin,4,273087,493143,4985,55.3768379557248,0.559783951529857
432,WI,Wisconsin,5,364288,558805,5239,65.1905405284491,0.611185014143655
433,WI,Wisconsin,6,325065,556485,2532,58.4139734224642,0.26578287052783
434,WI,Wisconsin,7,322840,552651,2556,58.4166137399552,0.270175689032184
435,WI,Wisconsin,8,328774,556205,2262,59.1102201526416,0.240392153945533
436,WY,Wyoming,At-large,205275,433644,2221,47.3372167031021,0.242447625927235
,,,,,,,,
,,,,,,,,
Notes:,,,,,,,,
"- Congressional districts 10, 14, 21, and 24 in Florida and district 9 in North Carolina did not report vote totals. In Florida, state law prohibits candidates without an opponent from having their name printed on the ballot.  In North Carolina, the state’s Board of Elections ordered a new election in February of 2019.",,,,,,,,
1 Votes as collected by state election offices and reported nationally by the Office of the Clerk of the U.S. House of Representatives.,,,,,,,,
"2 Citizen voting-age population from the 2018 American Community Survey, Table S2901.",,,,,,,,
3 Voting rates calculated by dividing the number votes cast for representative by the citizen voting-age population for each congresssional district.,,,,,,,,
,,,,,,,,
"Source: U.S. Census Bureau, 2018 American Community Survey Table S2901 , and the Office of the Clerk U.S. House of Representatives ""Statistics of the Congressional Election Noveber 6, 2018""  <clerk.house.gov>.",,,,,,,,
,,,,,,,,
"Internet release date: February 26, 2020",,,,,,,,
