"OHIO, INDIANA, MICHIGAN, MISSOURI, PENNSYLVIANIA, WISCONSIN",,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ","Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],[Money amounts are in thousands of dollars],,,
State,"Congressional
district [1]",Size of adjusted gross income by congressional district,Number of returns,Percentage
,,,,
Missouri,7,"$1 under $10,000","51,320",14.79772786
Missouri,7,"$10,000 under $25,000","82,000",23.64407024
Missouri,7,"$25,000 under $50,000","90,020",25.95657565
Missouri,7,"$50,000 under $75,000","48,400",13.95576829
Missouri,7,"$75,000 under $100,000","28,940",8.344626741
Missouri,7,"$100,000 under $200,000","31,200",8.996280384
Missouri,7,"$200,000 under $500,000","7,200",2.076064704
Missouri,7,"$500,000 or more","1,860",0.536316715
,,,,
Missouri,8,,"291,280",100
Missouri,8,Under $1,"5,610",1.925981873
Missouri,8,"$1 under $10,000","45,390",15.58294425
Missouri,8,"$10,000 under $25,000","71,460",24.5330953
Missouri,8,"$25,000 under $50,000","72,980",25.05492996
Missouri,8,"$50,000 under $75,000","40,390",13.86638286
Missouri,8,"$75,000 under $100,000","24,750",8.496978852
Missouri,8,"$100,000 under $200,000","25,270",8.675501236
Missouri,8,"$200,000 under $500,000","4,430",1.520873386
Missouri,8,"$500,000 or more","1,000",0.343312277
,,,,
Pennsylvania,1,,"374,910",100
Pennsylvania,1,Under $1,"4,140",1.104265024
Pennsylvania,1,"$1 under $10,000","50,450",13.45656291
Pennsylvania,1,"$10,000 under $25,000","51,840",13.82731856
Pennsylvania,1,"$25,000 under $50,000","70,570",18.82318423
Pennsylvania,1,"$50,000 under $75,000","50,950",13.58992825
Pennsylvania,1,"$75,000 under $100,000","37,860",10.09842362
Pennsylvania,1,"$100,000 under $200,000","73,810",19.68739164
Pennsylvania,1,"$200,000 under $500,000","29,150",7.775199381
Pennsylvania,1,"$500,000 or more","6,140",1.637726388
,,,,
Pennsylvania,2,,"304,820",100
Pennsylvania,2,Under $1,"2,230",0.731579293
Pennsylvania,2,"$1 under $10,000","43,960",14.42162588
Pennsylvania,2,"$10,000 under $25,000","79,860",26.1990683
Pennsylvania,2,"$25,000 under $50,000","88,850",29.14834985
Pennsylvania,2,"$50,000 under $75,000","41,870",13.73597533
Pennsylvania,2,"$75,000 under $100,000","21,350",7.004133587
Pennsylvania,2,"$100,000 under $200,000","23,120",7.584804147
Pennsylvania,2,"$200,000 under $500,000","3,270",1.072764254
Pennsylvania,2,"$500,000 or more",310,0.101699364
,,,,
Pennsylvania,3,,"329,600",100
Pennsylvania,3,Under $1,"3,430",1.04065534
Pennsylvania,3,"$1 under $10,000","41,340",12.54247573
Pennsylvania,3,"$10,000 under $25,000","74,480",22.59708738
Pennsylvania,3,"$25,000 under $50,000","89,590",27.18143204
Pennsylvania,3,"$50,000 under $75,000","49,320",14.96359223
Pennsylvania,3,"$75,000 under $100,000","25,040",7.597087379
Pennsylvania,3,"$100,000 under $200,000","30,670",9.305218447
Pennsylvania,3,"$200,000 under $500,000","12,420",3.768203883
Pennsylvania,3,"$500,000 or more","3,310",1.004247573
,,,,
Pennsylvania,4,,"392,450",100
Pennsylvania,4,Under $1,"4,300",1.095680978
Pennsylvania,4,"$1 under $10,000","50,300",12.81691935
Pennsylvania,4,"$10,000 under $25,000","50,720",12.92393936
Pennsylvania,4,"$25,000 under $50,000","71,460",18.208689
Pennsylvania,4,"$50,000 under $75,000","53,660",13.67307937
Pennsylvania,4,"$75,000 under $100,000","40,180",10.23824691
Pennsylvania,4,"$100,000 under $200,000","79,700",20.30831953
Pennsylvania,4,"$200,000 under $500,000","34,070",8.681360683
Pennsylvania,4,"$500,000 or more","8,060",2.053764811
,,,,
Pennsylvania,5,,"345,110",100
Pennsylvania,5,Under $1,"3,420",0.990988381
Pennsylvania,5,"$1 under $10,000","45,010",13.04221842
Pennsylvania,5,"$10,000 under $25,000","62,440",18.09278201
Pennsylvania,5,"$25,000 under $50,000","77,330",22.40734838
Pennsylvania,5,"$50,000 under $75,000","47,180",13.67100345
Pennsylvania,5,"$75,000 under $100,000","30,210",8.753730695
Pennsylvania,5,"$100,000 under $200,000","52,140",15.10822636
Pennsylvania,5,"$200,000 under $500,000","21,160",6.131378401
Pennsylvania,5,"$500,000 or more","6,220",1.802323897
,,,,
Pennsylvania,6,,"338,720",100
Pennsylvania,6,Under $1,"3,600",1.062824752
Pennsylvania,6,"$1 under $10,000","46,560",13.74586679
Pennsylvania,6,"$10,000 under $25,000","50,990",15.0537317
Pennsylvania,6,"$25,000 under $50,000","65,950",19.470359
Pennsylvania,6,"$50,000 under $75,000","43,100",12.72437411
Pennsylvania,6,"$75,000 under $100,000","30,500",9.004487482
Pennsylvania,6,"$100,000 under $200,000","61,480",18.15068493
Pennsylvania,6,"$200,000 under $500,000","29,680",8.762399622
Pennsylvania,6,"$500,000 or more","6,860",2.025271611
,,,,
Pennsylvania,7,,"366,710",100
Pennsylvania,7,Under $1,"3,720",1.014425568
Pennsylvania,7,"$1 under $10,000","53,030",14.46101824
Pennsylvania,7,"$10,000 under $25,000","68,290",18.62234463
Pennsylvania,7,"$25,000 under $50,000","85,920",23.42995828
Pennsylvania,7,"$50,000 under $75,000","51,040",13.9183551
Pennsylvania,7,"$75,000 under $100,000","34,310",9.356166998
Pennsylvania,7,"$100,000 under $200,000","53,470",14.58100406
Pennsylvania,7,"$200,000 under $500,000","14,440",3.937716452
Pennsylvania,7,"$500,000 or more","2,490",0.679010662
,,,,
Pennsylvania,8,,"337,100",100
Pennsylvania,8,Under $1,"3,910",1.159893207
Pennsylvania,8,"$1 under $10,000","53,000",15.72233759
Pennsylvania,8,"$10,000 under $25,000","71,220",21.12726194
Pennsylvania,8,"$25,000 under $50,000","84,010",24.92138831
Pennsylvania,8,"$50,000 under $75,000","46,990",13.93948383
Pennsylvania,8,"$75,000 under $100,000","30,040",8.911302284
Pennsylvania,8,"$100,000 under $200,000","39,080",11.59299911
Pennsylvania,8,"$200,000 under $500,000","7,470",2.215959656
Pennsylvania,8,"$500,000 or more","1,380",0.409374073
,,,,
Pennsylvania,9,,"337,970",100
Pennsylvania,9,Under $1,"3,760",1.11252478
Pennsylvania,9,"$1 under $10,000","50,300",14.88297778
Pennsylvania,9,"$10,000 under $25,000","60,510",17.90395597
Pennsylvania,9,"$25,000 under $50,000","81,850",24.21812587
Pennsylvania,9,"$50,000 under $75,000","51,900",15.35639258
Pennsylvania,9,"$75,000 under $100,000","34,750",10.28197769
Pennsylvania,9,"$100,000 under $200,000","45,670",13.5130337
Pennsylvania,9,"$200,000 under $500,000","8,000",2.367074001
Pennsylvania,9,"$500,000 or more","1,230",0.363937628
,,,,
Pennsylvania,10,,"376,430",100
Pennsylvania,10,Under $1,"3,510",0.932444279
Pennsylvania,10,"$1 under $10,000","52,470",13.93884653
Pennsylvania,10,"$10,000 under $25,000","66,140",17.5703318
Pennsylvania,10,"$25,000 under $50,000","91,640",24.34449964
Pennsylvania,10,"$50,000 under $75,000","55,200",14.66408097
Pennsylvania,10,"$75,000 under $100,000","36,960",9.818558563
Pennsylvania,10,"$100,000 under $200,000","55,100",14.63751561
Pennsylvania,10,"$200,000 under $500,000","12,970",3.445527721
Pennsylvania,10,"$500,000 or more","2,440",0.648194884
,,,,
Pennsylvania,11,,"366,670",100
Pennsylvania,11,Under $1,"3,780",1.030899719
Pennsylvania,11,"$1 under $10,000","51,010",13.91169171
Pennsylvania,11,"$10,000 under $25,000","62,950",17.16802575
Pennsylvania,11,"$25,000 under $50,000","87,220",23.78705648
Pennsylvania,11,"$50,000 under $75,000","56,040",15.28349742
Pennsylvania,11,"$75,000 under $100,000","38,390",10.46990482
Pennsylvania,11,"$100,000 under $200,000","53,950",14.7135026
Pennsylvania,11,"$200,000 under $500,000","11,210",3.057244934
Pennsylvania,11,"$500,000 or more","2,120",0.578176562
,,,,
Pennsylvania,12,,"307,170",100
Pennsylvania,12,Under $1,"4,230",1.377087606
Pennsylvania,12,"$1 under $10,000","47,140",15.34655077
Pennsylvania,12,"$10,000 under $25,000","58,020",18.88856334
Pennsylvania,12,"$25,000 under $50,000","74,460",24.2406485
Pennsylvania,12,"$50,000 under $75,000","46,680",15.19679656
Pennsylvania,12,"$75,000 under $100,000","30,830",10.03678745
Pennsylvania,12,"$100,000 under $200,000","37,250",12.1268353
Pennsylvania,12,"$200,000 under $500,000","7,290",2.37327864
Pennsylvania,12,"$500,000 or more","1,270",0.413451834
,,,,
Pennsylvania,13,,"332,820",100
Pennsylvania,13,Under $1,"3,980",1.195841596
Pennsylvania,13,"$1 under $10,000","50,240",15.09524668
Pennsylvania,13,"$10,000 under $25,000","65,200",19.59016886
Pennsylvania,13,"$25,000 under $50,000","81,670",24.53878974
Pennsylvania,13,"$50,000 under $75,000","50,880",15.28754282
Pennsylvania,13,"$75,000 under $100,000","33,970",10.20671835
Pennsylvania,13,"$100,000 under $200,000","39,270",11.79917072
Pennsylvania,13,"$200,000 under $500,000","6,400",1.92296136
Pennsylvania,13,"$500,000 or more","1,210",0.363559882
,,,,
Pennsylvania,14,,"336,210",100
Pennsylvania,14,Under $1,"3,230",0.960709081
Pennsylvania,14,"$1 under $10,000","49,350",14.67832605
Pennsylvania,14,"$10,000 under $25,000","59,940",17.82814312
Pennsylvania,14,"$25,000 under $50,000","75,140",22.34912703
Pennsylvania,14,"$50,000 under $75,000","49,060",14.59207043
Pennsylvania,14,"$75,000 under $100,000","34,670",10.31200738
Pennsylvania,14,"$100,000 under $200,000","51,110",15.20180839
Pennsylvania,14,"$200,000 under $500,000","11,500",3.420481247
Pennsylvania,14,"$500,000 or more","2,210",0.657327266
,,,,
Pennsylvania,15,,"321,700",100
Pennsylvania,15,Under $1,"3,640",1.131488965
Pennsylvania,15,"$1 under $10,000","51,180",15.9092322
Pennsylvania,15,"$10,000 under $25,000","63,150",19.63009015
Pennsylvania,15,"$25,000 under $50,000","79,330",24.65962076
Pennsylvania,15,"$50,000 under $75,000","48,820",15.17562947
Pennsylvania,15,"$75,000 under $100,000","32,630",10.14299036
Pennsylvania,15,"$100,000 under $200,000","36,350",11.29934722
Pennsylvania,15,"$200,000 under $500,000","5,540",1.722101337
Pennsylvania,15,"$500,000 or more","1,060",0.329499534
,,,,
Pennsylvania,16,,"331,910",100
Pennsylvania,16,Under $1,"3,540",1.066554186
Pennsylvania,16,"$1 under $10,000","54,580",16.44421681
Pennsylvania,16,"$10,000 under $25,000","67,380",20.30068392
Pennsylvania,16,"$25,000 under $50,000","78,300",23.59073243
Pennsylvania,16,"$50,000 under $75,000","46,150",13.90437167
Pennsylvania,16,"$75,000 under $100,000","31,390",9.457383026
Pennsylvania,16,"$100,000 under $200,000","39,680",11.95504806
Pennsylvania,16,"$200,000 under $500,000","8,980",2.70555271
Pennsylvania,16,"$500,000 or more","1,910",0.575457202
,,,,
Pennsylvania,17,,"387,110",100
Pennsylvania,17,Under $1,"3,530",0.911885511
Pennsylvania,17,"$1 under $10,000","53,830",13.90560823
Pennsylvania,17,"$10,000 under $25,000","59,640",15.40647361
Pennsylvania,17,"$25,000 under $50,000","83,270",21.51068172
Pennsylvania,17,"$50,000 under $75,000","55,220",14.26467929
Pennsylvania,17,"$75,000 under $100,000","39,760",10.27098241
Pennsylvania,17,"$100,000 under $200,000","65,620",16.95125417
Pennsylvania,17,"$200,000 under $500,000","21,200",5.476479554
Pennsylvania,17,"$500,000 or more","5,040",1.301955517
,,,,
Pennsylvania,18,,"356,980",100
Pennsylvania,18,Under $1,"3,470",0.972043252
Pennsylvania,18,"$1 under $10,000","50,170",14.05400863
Pennsylvania,18,"$10,000 under $25,000","68,690",19.24197434
Pennsylvania,18,"$25,000 under $50,000","91,670",25.67930977
Pennsylvania,18,"$50,000 under $75,000","51,530",14.43498235
Pennsylvania,18,"$75,000 under $100,000","31,970",8.955683792
Pennsylvania,18,"$100,000 under $200,000","44,300",12.4096588
Pennsylvania,18,"$200,000 under $500,000","12,430",3.481987786
Pennsylvania,18,"$500,000 or more","2,750",0.77035128
,,,,
Wisconsin,1,,"359,310",100
Wisconsin,1,Under $1,"3,430",0.954607442
Wisconsin,1,"$1 under $10,000","48,270",13.43408199
Wisconsin,1,"$10,000 under $25,000","61,730",17.18015084
Wisconsin,1,"$25,000 under $50,000","80,720",22.46528068
Wisconsin,1,"$50,000 under $75,000","53,130",14.78667446
Wisconsin,1,"$75,000 under $100,000","38,020",10.58139211
Wisconsin,1,"$100,000 under $200,000","59,270",16.49550527
Wisconsin,1,"$200,000 under $500,000","12,550",3.492805655
Wisconsin,1,"$500,000 or more","2,190",0.609501545
,,,,
Wisconsin,2,,"384,280",100
Wisconsin,2,Under $1,"4,140",1.07733944
Wisconsin,2,"$1 under $10,000","44,740",11.64255231
Wisconsin,2,"$10,000 under $25,000","58,940",15.33777454
Wisconsin,2,"$25,000 under $50,000","90,620",23.5817633
Wisconsin,2,"$50,000 under $75,000","58,710",15.27792235
Wisconsin,2,"$75,000 under $100,000","40,430",10.52097429
Wisconsin,2,"$100,000 under $200,000","65,660",17.08649943
Wisconsin,2,"$200,000 under $500,000","17,580",4.574789216
Wisconsin,2,"$500,000 or more","3,460",0.900385136
,,,,
Wisconsin,3,,"334,640",100
Wisconsin,3,Under $1,"5,250",1.568850108
Wisconsin,3,"$1 under $10,000","45,000",13.44728664
Wisconsin,3,"$10,000 under $25,000","61,690",18.43473584
Wisconsin,3,"$25,000 under $50,000","85,260",25.47812575
Wisconsin,3,"$50,000 under $75,000","51,250",15.31496534
Wisconsin,3,"$75,000 under $100,000","35,080",10.482907
Wisconsin,3,"$100,000 under $200,000","42,090",12.57769543
Wisconsin,3,"$200,000 under $500,000","7,430",2.220296438
Wisconsin,3,"$500,000 or more","1,590",0.475137461
,,,,
Wisconsin,4,,"312,920",100
Wisconsin,4,Under $1,"2,700",0.862840343
Wisconsin,4,"$1 under $10,000","42,430",13.5593762
Wisconsin,4,"$10,000 under $25,000","78,670",25.14061102
Wisconsin,4,"$25,000 under $50,000","90,700",28.9850441
Wisconsin,4,"$50,000 under $75,000","42,900",13.70957433
Wisconsin,4,"$75,000 under $100,000","22,030",7.040138054
Wisconsin,4,"$100,000 under $200,000","25,590",8.177809025
Wisconsin,4,"$200,000 under $500,000","6,140",1.962162853
Wisconsin,4,"$500,000 or more","1,760",0.562444075
,,,,
Wisconsin,5,,"372,250",100
Wisconsin,5,Under $1,"3,700",0.993955675
Wisconsin,5,"$1 under $10,000","45,660",12.2659503
Wisconsin,5,"$10,000 under $25,000","53,430",14.35325722
Wisconsin,5,"$25,000 under $50,000","79,430",21.33781061
Wisconsin,5,"$50,000 under $75,000","57,260",15.38213566
Wisconsin,5,"$75,000 under $100,000","41,550",11.16185359
Wisconsin,5,"$100,000 under $200,000","68,400",18.37474815
Wisconsin,5,"$200,000 under $500,000","18,610",4.999328408
Wisconsin,5,"$500,000 or more","4,210",1.130960376
,,,,
Wisconsin,6,,"354,940",100
Wisconsin,6,Under $1,"4,160",1.172029075
Wisconsin,6,"$1 under $10,000","47,070",13.26139629
Wisconsin,6,"$10,000 under $25,000","59,660",16.80847467
Wisconsin,6,"$25,000 under $50,000","86,130",24.26607314
Wisconsin,6,"$50,000 under $75,000","55,890",15.74632332
Wisconsin,6,"$75,000 under $100,000","38,740",10.91452076
Wisconsin,6,"$100,000 under $200,000","49,740",14.01363611
Wisconsin,6,"$200,000 under $500,000","10,570",2.977968107
Wisconsin,6,"$500,000 or more","2,980",0.83957852
,,,,
Wisconsin,7,,"345,020",100
Wisconsin,7,Under $1,"5,490",1.591212104
Wisconsin,7,"$1 under $10,000","45,920",13.30937337
Wisconsin,7,"$10,000 under $25,000","61,420",17.80186656
Wisconsin,7,"$25,000 under $50,000","86,810",25.16086024
Wisconsin,7,"$50,000 under $75,000","53,090",15.38751377
Wisconsin,7,"$75,000 under $100,000","37,040",10.73560953
Wisconsin,7,"$100,000 under $200,000","44,910",13.01663672
Wisconsin,7,"$200,000 under $500,000","8,580",2.486812359
Wisconsin,7,"$500,000 or more","1,760",0.510115356
,,,,
Wisconsin,8,,"364,320",100
Wisconsin,8,Under $1,"4,020",1.10342556
Wisconsin,8,"$1 under $10,000","47,270",12.97485727
Wisconsin,8,"$10,000 under $25,000","61,470",16.87252964
Wisconsin,8,"$25,000 under $50,000","89,600",24.59376372
Wisconsin,8,"$50,000 under $75,000","56,650",15.54951691
Wisconsin,8,"$75,000 under $100,000","39,740",10.90799297
Wisconsin,8,"$100,000 under $200,000","52,710",14.46805007
Wisconsin,8,"$200,000 under $500,000","10,360",2.843653931
Wisconsin,8,"$500,000 or more","2,500",0.686209925
