"November 6, 2018 General Election Official Canvass Ballots Cast",,,,,,,
County Name,Precinct Name,Precinct Code,Region Name,Media Market,Registered Voters,Total Voters,Turnout Percentage
Butler,FAIRFIELD TWP 6,AFT,Southwest,Cincinnati,1080,702,65%
Butler,FAIRFIELD TWP 7,AFU,Southwest,Cincinnati,870,563,64.7126436781609%
Butler,FAIRFIELD TWP 8,AFV,Southwest,Cincinnati,780,511,65.5128205128205%
Butler,FAIRFIELD TWP 9,AFW,Southwest,Cincinnati,799,537,67.2090112640801%
Butler,FAIRFIELD TWP 10,AFX,Southwest,Cincinnati,763,479,62.778505897772%
Butler,FAIRFIELD TWP 11,AFY,Southwest,Cincinnati,1169,748,63.9863130881095%
Butler,FAIRFIELD TWP 12,AFZ,Southwest,Cincinnati,1287,841,65.3457653457653%
Butler,FAIRFIELD TWP 13,AGA,Southwest,Cincinnati,501,276,55.0898203592814%
Butler,HANOVER TWP 1,AGB,Southwest,Cincinnati,253,137,54.1501976284585%
Butler,HANOVER TWP 2,AGC,Southwest,Cincinnati,797,495,62.107904642409%
Butler,HANOVER TWP 3,AGD,Southwest,Cincinnati,560,384,68.5714285714286%
Butler,HANOVER TWP 4,AGE,Southwest,Cincinnati,846,568,67.1394799054374%
Butler,HANOVER TWP 5,AGF,Southwest,Cincinnati,996,555,55.7228915662651%
Butler,HANOVER TWP 6,AGG,Southwest,Cincinnati,124,62,50%
Butler,HANOVER TWP 7,AGH,Southwest,Cincinnati,961,579,60.2497398543184%
Butler,LEMON TWP 1,AGJ,Southwest,Cincinnati,433,145,33.4872979214781%
Butler,LEMON TWP 2,AGK,Southwest,Cincinnati,760,205,26.9736842105263%
Butler,LIBERTY TWP 1,AGL,Southwest,Cincinnati,1354,690,50.96011816839%
Butler,LIBERTY TWP 2,AGM,Southwest,Cincinnati,1316,848,64.4376899696049%
Butler,LIBERTY TWP 3,AGN,Southwest,Cincinnati,1802,1199,66.5371809100999%
Butler,LIBERTY TWP 4,AGO,Southwest,Cincinnati,1310,871,66.4885496183206%
Butler,LIBERTY TWP 5,AGP,Southwest,Cincinnati,1083,608,56.140350877193%
Butler,LIBERTY TWP 6,AGQ,Southwest,Cincinnati,1283,792,61.730319563523%
Butler,LIBERTY TWP 7,AGR,Southwest,Cincinnati,1267,839,66.2194159431729%
Butler,LIBERTY TWP 8,AGS,Southwest,Cincinnati,917,586,63.9040348964013%
Butler,LIBERTY TWP 9,AGT,Southwest,Cincinnati,1022,618,60.4696673189824%
Butler,LIBERTY TWP 10,AGU,Southwest,Cincinnati,767,430,56.0625814863103%
Butler,LIBERTY TWP 11,AGV,Southwest,Cincinnati,1664,1115,67.0072115384616%
Butler,LIBERTY TWP 12,AGW,Southwest,Cincinnati,1311,837,63.8443935926774%
Butler,LIBERTY TWP 13,AGX,Southwest,Cincinnati,1194,768,64.321608040201%
Butler,MADISON TWP 1,AGY,Southwest,Cincinnati,1276,787,61.6771159874608%
Butler,MADISON TWP 2,AGZ,Southwest,Cincinnati,1472,702,47.6902173913043%
Butler,MADISON TWP 3,AHA,Southwest,Cincinnati,1262,774,61.3312202852615%
Butler,MADISON TWP 4,AHB,Southwest,Cincinnati,1475,863,58.5084745762712%
Butler,MADISON TWP 5,AHC,Southwest,Cincinnati,271,141,52.029520295203%
Butler,MILFORD TWP 1,AHF,Southwest,Cincinnati,1104,640,57.9710144927536%
Butler,MILFORD TWP 2,AHH,Southwest,Cincinnati,1442,883,61.2343966712899%
Butler,MORGAN TWP 1,AHJ,Southwest,Cincinnati,552,372,67.3913043478261%
Butler,MORGAN TWP 2,AHK,Southwest,Cincinnati,720,450,62.5%
Butler,MORGAN TWP 3,AHL,Southwest,Cincinnati,1003,638,63.6091724825523%
Butler,MORGAN TWP 4,AHM,Southwest,Cincinnati,897,608,67.7814938684504%
Butler,MORGAN TWP 5,AHN,Southwest,Cincinnati,808,500,61.8811881188119%
Butler,OXFORD TWP 1,AHO,Southwest,Cincinnati,828,540,65.2173913043478%
Butler,OXFORD TWP 2,AHP,Southwest,Cincinnati,120,47,39.1666666666667%
Butler,OXFORD TWP 3,AHQ,Southwest,Cincinnati,957,683,71.3688610240334%
Butler,REILY TWP 1,AHS,Southwest,Cincinnati,886,564,63.6568848758465%
Butler,REILY TWP 2,AHT,Southwest,Cincinnati,1120,709,63.3035714285714%
